"mainnumber","Price","PromoPrice","Available",
"14414","3100.0000","2635","False",
"14865","54900.0000","54900.0000","False",
"14923","197800.0000","168130","False",
"10610","30700.0000","26095","False",
"11669","184100.0000","156485","False",
"12571","197400.0000","167790","False",
"13159","15700.0000","13345","False",
"14003","53900.0000","53900.0000","False",
"14768","32400.0000","27540","False",
"15062","96900.0000","56900.0000","False",
"15120","138200.0000","117470","False",
"10921","148700.0000","126395","False",
"11980","1910200.0000","1623670","False",
"12882","212400.0000","180540","False",
"13298","107300.0000","91205","False",
"16490","45900.0000","39015","False",
"10216","106300.0000","90355","False",
"11118","5200.0000","4420","False",
"12177","54700.0000","46495","False",
"13495","336100.0000","285685","False",
"16515","65000.0000","65000.0000","False",
"16687","39100.0000","29900.0000","False",
"10299","14300.0000","12155","False",
"11358","24200.0000","20570","False",
"12260","32000.0000","23900.0000","False",
"13920","1500.0000","1275","False",
"14457","26500.0000","22525","False",
"14809","17000.0000","14450","False",
"10496","332600.0000","282710","False",
"11555","63900.0000","54315","False",
"12457","32800.0000","27880","False",
"14117","37500.0000","37500.0000","False",
"14654","20000.0000","17000","False",
"15163","21400.0000","18190","False",
"10807","247800.0000","99000.0000","True",
"11866","102700.0000","87295","False",
"12925","237200.0000","201620","False",
"13412","17000.0000","14450","False",
"15373","100100.0000","85085","False",
"10102","32000.0000","27200","False",
"11004","573300.0000","399000.0000","False",
"12063","98800.0000","83980","False",
"13609","772200.0000","300000.0000","False",
"16629","49000.0000","41650","False",
"16730","254900.0000","179000.0000","False",
"10641","42700.0000","36295","False",
"11543","431600.0000","299000.0000","False",
"12602","148700.0000","126395","False",
"13190","15700.0000","13345","False",
"14034","6000.0000","5100","False",
"14343","18000.0000","15300","False",
"15151","175600.0000","149260","False",
"10838","78000.0000","66300","False",
"11740","158000.0000","134300","False",
"12799","4200.0000","4200.0000","False",
"14540","64100.0000","54485","False",
"15348","304500.0000","258825","False",
"10090","42700.0000","36295","False",
"11149","8700.0000","7395","False",
"12051","46200.0000","35900.0000","False",
"13526","71900.0000","61115","False",
"14737","26500.0000","22525","False",
"16546","1000.0000","850","False",
"16718","124000.0000","105400","False",
"10287","37000.0000","31450","False",
"11346","49700.0000","25000.0000","True",
"12405","20100.0000","17085","False",
"13723","64300.0000","54655","False",
"10527","481100.0000","408935","False",
"11429","63900.0000","54315","False",
"12488","800.0000","680","True",
"13076","10500.0000","8925","True",
"14148","177900.0000","98000.0000","False",
"14229","2300.0000","1955","False",
"15037","118400.0000","100640","False",
"10724","43700.0000","37145","False",
"11783","368100.0000","259000.0000","False",
"12685","5300.0000","4505","False",
"13286","12200.0000","10370","False",
"14426","33100.0000","28135","False",
"15234","39800.0000","33830","False",
"11035","4400.0000","3740","False",
"12094","686300.0000","583355","False",
"12996","285900.0000","243015","False",
"13483","7800.0000","6630","False",
"14623","415900.0000","269000.0000","False",
"16604","145200.0000","123420","False",
"10173","92100.0000","59900.0000","True",
"11232","481100.0000","408935","False",
"12291","251200.0000","213520","False",
"13837","159900.0000","159900.0000","False",
"14840","318400.0000","270640","False",
"16801","73800.0000","62730","False",
"11016","0.0000","0","False",
"12075","593700.0000","504645","False",
"12977","26300.0000","22355","False",
"13507","12000.0000","10200","False",
"16527","300.0000","255","False",
"10154","113400.0000","96390","False",
"11213","17200.0000","14620","False",
"12272","148700.0000","126395","False",
"13704","397600.0000","129900.0000","False",
"14821","184100.0000","156485","False",
"10622","212400.0000","180540","False",
"11524","17200.0000","14620","False",
"12583","42000.0000","32900.0000","True",
"13171","19400.0000","16490","False",
"13901","110900.0000","49900.0000","False",
"14362","85900.0000","73015","False",
"14960","79000.0000","67150","False",
"15132","37600.0000","31960","False",
"10819","28500.0000","24225","True",
"11721","296600.0000","252110","False",
"12780","3300.0000","3300.0000","False",
"14098","265000.0000","225250","False",
"14559","6000.0000","5100","False",
"15329","15600.0000","10900.0000","False",
"10902","67300.0000","57205","False",
"11961","537800.0000","457130","False",
"12863","7600.0000","6460","False",
"13464","78700.0000","66895","False",
"14756","34400.0000","29240","False",
"16471","439900.0000","373915","False",
"16484","229000.0000","147000.0000","False",
"10197","92100.0000","78285","False",
"11099","39800.0000","33830","False",
"12158","6500.0000","5525","False",
"13818","120000.0000","120000.0000","False",
"16668","35400.0000","28900.0000","False",
"16838","2900.0000","2465","False",
"10508","8700.0000","7395","False",
"11410","10900.0000","9265","False",
"12469","460000.0000","249000.0000","False",
"14015","95600.0000","81260","False",
"14248","15300.0000","13005","False",
"15018","46100.0000","39185","False",
"10705","67300.0000","57205","False",
"11764","60400.0000","37900.0000","False",
"12666","18600.0000","15810","False",
"14445","65600.0000","55760","False",
"10185","39200.0000","33320","False",
"11244","62500.0000","44990.0000","False",
"12146","19400.0000","16490","False",
"13578","50100.0000","42585","False",
"14642","23300.0000","19805","False",
"16598","309000.0000","262650","False",
"10382","68800.0000","58480","False",
"11441","39200.0000","33320","True",
"12500","322100.0000","273785","False",
"13775","119000.0000","119000.0000","False",
"15049","307900.0000","261715","False",
"10693","332600.0000","282710","False",
"11752","1061400.0000","902190","False",
"12811","15100.0000","12835","False",
"14129","120900.0000","49900.0000","False",
"15360","175600.0000","125000.0000","False",
"10890","46100.0000","39185","False",
"11949","26300.0000","22355","False",
"13008","226600.0000","192610","False",
"13267","169900.0000","159900.0000","True",
"14331","3800.0000","3230","False",
"15385","162000.0000","162000.0000","False",
"16616","85100.0000","72335","False",
"10071","74600.0000","39000.0000","False",
"11130","261800.0000","149000.0000","False",
"12189","34100.0000","28985","False",
"13692","114400.0000","114400.0000","False",
"14528","138700.0000","117895","False",
"16699","74600.0000","63410","False",
"10268","11200.0000","9520","False",
"11327","285300.0000","205900.0000","True",
"12386","5800.0000","4930","False",
"13889","204600.0000","173910","False",
"14935","186900.0000","158865","False",
"14948","147900.0000","147900.0000","False",
"10579","10900.0000","9265","False",
"11638","297200.0000","252620","False",
"12697","56800.0000","48280","False",
"15246","17900.0000","15215","False",
"10933","28500.0000","17900.0000","False",
"11835","211600.0000","179860","True",
"12894","325700.0000","276845","False",
"13381","13100.0000","11135","False",
"14217","9500.0000","9500.0000","False",
"16502","378700.0000","321895","False",
"10109","26300.0000","22355","False",
"11168","3700.0000","3145","False",
"12070","14300.0000","12155","False",
"13502","64900.0000","55165","False",
"14267","98600.0000","83810","True",
"16522","0.0100","0","False",
"16737","467100.0000","328000.0000","False",
"10306","67300.0000","57205","False",
"11365","109800.0000","93330","False",
"12424","205500.0000","174675","False",
"13856","7000.0000","5950","False",
"14464","41700.0000","35445","False",
"14973","237200.0000","201620","False",
"16876","579000.0000","492150","False",
"10617","99200.0000","84320","False",
"11676","320000.0000","272000","False",
"12735","3300.0000","3300.0000","True",
"13166","21800.0000","18530","False",
"14053","389000.0000","389000.0000","False",
"14661","6600.0000","5610","False",
"14955","269000.0000","228650","False",
"15284","51800.0000","44030","False",
"10971","29900.0000","25415","False",
"11873","4000.0000","3400","False",
"12932","1785600.0000","1517760","False",
