CIDIPR,ITEMPR,PHQTPR,BARCOD,LARTAR,SELPPR
480,61097,43.000,46168252,FRUIT-TELLA RAINBOW 41GR,270.000
480,16149,28.000,46170750,SOBRANIE BLACK RUSSIAN,1500.000
480,16150,.000,46170767,SOBRANIE WHITE RUSSIAN,1500.000
480,16150,.000,46170767,SOBRANIE WHITE RUSSIAN,1500.000
480,64767,.000,46172099,DONTABAK COMPACT SILVER,350.000
480,65154,.000,46172112,WRIGLEY'S JUICY FRUIT BUBBLE  13.6G,150.000
480,65154,.000,46172112,WRIGLEY'S JUICY FRUIT BUBBLE  13.6G,150.000
480,65154,.000,46172112,WRIGLEY'S JUICY FRUIT BUBBLE  13.6G,150.000
480,64980,730.000,46177872,ORBIT FRESH CITRUS GUM 13.6GR,160.000
480,62625,15.000,46177889,HALLS EXTRA MENTOL 25GR,130.000
480,65151,.000,46180810,LAIMON ORANGE 500ML,390.000
480,65151,.000,46180810,LAIMON ORANGE 500ML,390.000
480,62662,1.000,46195876,REXONA MEN DEO ROLL ANTIBAC I50ML,840.000
480,62660,9.000,46195883,REXONA DEO ROLL ANTIBACT 50ML,840.000
480,62660,9.000,46195883,REXONA DEO ROLL ANTIBACT 50ML,840.000
480,62661,7.000,46195890,REXONA DEO STICK ANTIBACT 40ML,1150.000
480,62661,7.000,46195890,REXONA DEO STICK ANTIBACT 40ML,1150.000
480,62663,.000,46195906,REXONA MEN STICK ANTIBACT 40ML,1150.000
480,65155,700.000,46196613,ORBIT WHITE APPLE XXL GUM 20.4G,200.000
480,65155,700.000,46196613,ORBIT WHITE APPLE XXL GUM 20.4G,200.000
480,57354,2.000,46198051,MENTOS SOFT MINT 54G,1150.000
480,57354,2.000,46198051,MENTOS SOFT MINT 54G,1150.000
480,57355,1.000,46198068,MENTOS STRAWBWRRY 54G,1150.000
480,57355,1.000,46198068,MENTOS STRAWBWRRY 54G,1150.000
480,61489,269.000,46198082,MENTOS PURE WHITE STRW 15.5GR,150.000
480,60029,263.000,46204813,NESCAFE GOLD ARABICA PINK J. 95G,2350.000
480,60029,263.000,46204813,NESCAFE GOLD ARABICA PINK J. 95G,2350.000
480,60028,46.000,46204837,NESCAFE GOLD WITH ARABIKA 47.5G,1380.000
480,62597,13.000,46211521,NESTLE GOOD MIX SALTY CHOC BAR 33G,170.000
